"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.unionknoxville.com/","1","Student Apartment Living in Knoxville, TN | Union Knoxville","59","523","",""
"https://www.unionknoxville.com/cdn-cgi/l/email-protection","1","Email Protection | Cloudflare","29","255","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/amenities/","1","Knoxville Off Campus Housing Apartments | Union Knoxville","57","534","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/map-and-directions/","1","Apartments in Knoxville, TN Near Campus | Union Knoxville","57","527","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/faqs/","1","Frequently Asked Questions | Union Knoxville","44","401","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/","1","Apply | Student Housing in Knoxville | Union Knoxville","54","471","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/","1","Apply | Student Housing in Knoxville | Union Knoxville","54","471","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/photos/","1","Apartments In Knoxville, TN Near UTK | Union Knoxville","54","491","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/guest-card/contact-us/1/","1","Contact | Union Knoxville Apartments | Union Knoxville","54","485","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/student/","1","Apartments In Knoxville, TN Near UTK | Union Knoxville","54","491","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/action/search_password/","1","Union Knoxville | Authentication","32","283","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","E1 | 5 Bed Apartment | Union Knoxville","38","340","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","B3 | 2 Bed Apartment | Union Knoxville","38","341","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D3 | 4 Bed Apartment | Union Knoxville","38","342","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/","1","Apartments In Knoxville, TN Near UTK | Union Knoxville","54","491","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","A1 | 1 Bed Apartment | Union Knoxville","38","342","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","E1 | 5 Bed Apartment | Union Knoxville","38","340","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D2 | 4 Bed Apartment | Union Knoxville","38","342","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D2 | 4 Bed Apartment | Union Knoxville","38","342","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","B3 | 2 Bed Apartment | Union Knoxville","38","341","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","S1 | Studio | Union Knoxville","29","247","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/202//lease_start_window%5Bid%5D/7242/","1","B1 | 2 Bed Apartment | Union Knoxville","38","341","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D3 | 4 Bed Apartment | Union Knoxville","38","342","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D1 | 4 Bed Apartment | Union Knoxville","38","342","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987649/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/202/desired_rent_min/1585/desired_rent_max/1585","1","Apply | Student Housing in Knoxville | Union Knoxville","54","471","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987664/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1665/desired_rent_max/1665","1","Apply | Student Housing in Knoxville | Union Knoxville","54","471","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","S1 | Studio | Union Knoxville","29","247","",""
